SET-line 0 {'WLD': -0.054, 'LS': -0.227, 'PS': -0.024, 'WPD': -0.031, 'WLD_graded': -0.021, 'LS_graded': -0.07} {'LS': [-0.319, -0.122], 'PS': [-0.082, 0.032], 'WPD': [-0.101, 0.037], 'LS_graded': [-0.107, -0.039]}
SET-para 0 {'WLD': -0.056, 'LS': 0.038, 'PS': -0.179, 'WPD': 0.04, 'WLD_graded': -0.035, 'LS_graded': -0.048} {'LS': [-0.086, 0.164], 'PS': [-0.234, -0.116], 'WPD': [-0.021, 0.112], 'LS_graded': [-0.084, -0.013]}
REC 0 {'WLD': 0.07, 'LS': 0.054, 'PS': -0.01, 'WPD': 0.041, 'WLD_graded': -0.026, 'LS_graded': -0.024} {'LS': [-0.057, 0.167], 'PS': [-0.067, 0.048], 'WPD': [-0.017, 0.102], 'LS_graded': [-0.055, 0.007]}
MK-sec 0 {'WLD': 0.102, 'LS': 0.012, 'PS': -0.018, 'WPD': -0.02, 'WLD_graded': 0.008, 'LS_graded': 0.035} {'LS': [-0.068, 0.089], 'PS': [-0.065, 0.033], 'WPD': [-0.068, 0.031], 'LS_graded': [0.005, 0.063]}
SET-line 1 {'WLD': -0.016, 'LS': -0.198, 'PS': 0.028, 'WPD': 0.011, 'WLD_graded': -0.019, 'LS_graded': -0.091} {'LS': [-0.32, -0.067], 'PS': [-0.03, 0.09], 'WPD': [-0.057, 0.075], 'LS_graded': [-0.121, -0.061]}
SET-para 1 {'WLD': -0.094, 'LS': -0.081, 'PS': -0.246, 'WPD': 0.002, 'WLD_graded': -0.032, 'LS_graded': -0.036} {'LS': [-0.197, 0.042], 'PS': [-0.322, -0.18], 'WPD': [-0.073, 0.077], 'LS_graded': [-0.07, -0.002]}
REC 1 {'WLD': 0.111, 'LS': -0.032, 'PS': 0.013, 'WPD': 0.114, 'WLD_graded': -0.027, 'LS_graded': -0.03} {'LS': [-0.123, 0.055], 'PS': [-0.031, 0.057], 'WPD': [0.057, 0.173], 'LS_graded': [-0.057, -0.0]}
MK-sec 1 {'WLD': -0.04, 'LS': -0.026, 'PS': 0.013, 'WPD': 0.021, 'WLD_graded': -0.018, 'LS_graded': 0.012} {'LS': [-0.117, 0.06], 'PS': [-0.039, 0.065], 'WPD': [-0.024, 0.066], 'LS_graded': [-0.017, 0.038]}
SET-line 2 {'WLD': 0.076, 'LS': -0.244, 'PS': 0.008, 'WPD': -0.048, 'WLD_graded': -0.026, 'LS_graded': -0.083} {'LS': [-0.343, -0.143], 'PS': [-0.055, 0.07], 'WPD': [-0.104, 0.006], 'LS_graded': [-0.12, -0.048]}
SET-para 2 {'WLD': 0.052, 'LS': -0.038, 'PS': -0.278, 'WPD': -0.033, 'WLD_graded': -0.009, 'LS_graded': -0.012} {'LS': [-0.155, 0.077], 'PS': [-0.343, -0.207], 'WPD': [-0.098, 0.026], 'LS_graded': [-0.042, 0.019]}
REC 2 {'WLD': -0.074, 'LS': -0.058, 'PS': 0.039, 'WPD': 0.06, 'WLD_graded': -0.048, 'LS_graded': -0.035} {'LS': [-0.164, 0.055], 'PS': [-0.011, 0.091], 'WPD': [-0.012, 0.125], 'LS_graded': [-0.077, 0.011]}
