targets {'even': {'DI_near': 0.1399354589559687, 'DI_exact': 0.232351689991517, 'dev_rate': 26.852312282446544, 'page_mi': 0.25978487000948736, 'cons_excess': 0.041452038545738853, 'T7b_rec': 0.004651162790697674, 'hapax': 0.7085191793041927, 'ttr': 0.30120239134815613, 'T6b_slope': -0.008156706505248952, 'T3a_rho': 0.038445177054925866}, 'odd': {'DI_near': 0.1634995939819457, 'DI_exact': 0.2041586466273546, 'dev_rate': 23.4976502349765, 'page_mi': 0.3123925300850865, 'cons_excess': 0.05444947748808311, 'T7b_rec': 0.008583690987124463, 'hapax': 0.7199124726477024, 'ttr': 0.2870603015075377, 'T6b_slope': -0.008428058158786635, 'T3a_rho': 0.04152299781586927}}
even HGR2 pass done {'m': 1, 'theta': 1.0, 'eps': 0.08, 'rho': 0.05, 'tau': 8, 'e': 0.1, 'lam': 0.25, 'sig': 0.4, 'sigw': 0.05} 12.705 {'DI_near': 0.1044, 'DI_exact': 0.1825, 'dev_rate': 61.7024, 'page_mi': 0.2392, 'cons_excess': 0.0651, 'T7b_rec': 0.0667, 'hapax': 0.7304, 'ttr': 0.3522, 'T6b_slope': -0.0024, 'T3a_rho': 0.064}
even HGR2 pass done {'m': 1, 'theta': 1.0, 'eps': 0.08, 'rho': 0.05, 'tau': 8, 'e': 0.1, 'lam': 0.25, 'sig': 0.4, 'sigw': 0.05} 12.705 {'DI_near': 0.1044, 'DI_exact': 0.1825, 'dev_rate': 61.7024, 'page_mi': 0.2392, 'cons_excess': 0.0651, 'T7b_rec': 0.0667, 'hapax': 0.7304, 'ttr': 0.3522, 'T6b_slope': -0.0024, 'T3a_rho': 0.064}
even HGR2 pass done {'m': 1, 'theta': 1.0, 'eps': 0.08, 'rho': 0.05, 'tau': 8, 'e': 0.1, 'lam': 0.25, 'sig': 0.4, 'sigw': 0.05} 12.705 {'DI_near': 0.1044, 'DI_exact': 0.1825, 'dev_rate': 61.7024, 'page_mi': 0.2392, 'cons_excess': 0.0651, 'T7b_rec': 0.0667, 'hapax': 0.7304, 'ttr': 0.3522, 'T6b_slope': -0.0024, 'T3a_rho': 0.064}
even B1-noC1 pass done {'m': 2, 'theta': 1.0, 'eps': 0.08, 'rho': 0.03, 'tau': 8, 'e': 0.1, 'lam': 0.5, 'sig': 0.4, 'sigw': 0.05} 8.912 {'DI_near': 0.0913, 'DI_exact': 0.1026, 'dev_rate': 43.7146, 'page_mi': 0.3164, 'cons_excess': 0.0558, 'T7b_rec': 0.0583, 'hapax': 0.682, 'ttr': 0.2618, 'T6b_slope': -0.0021, 'T3a_rho': 0.0542}
even B1-noC1 pass done {'m': 2, 'theta': 1.0, 'eps': 0.08, 'rho': 0.05, 'tau': 8, 'e': 0.1, 'lam': 0.5, 'sig': 0, 'sigw': 0.05} 6.458 {'DI_near': 0.1168, 'DI_exact': 0.107, 'dev_rate': 43.2179, 'page_mi': 0.227, 'cons_excess': 0.0224, 'T7b_rec': 0.0488, 'hapax': 0.6844, 'ttr': 0.2516, 'T6b_slope': -0.0022, 'T3a_rho': 0.0506}
even B1-noC1 pass done {'m': 2, 'theta': 1.0, 'eps': 0.08, 'rho': 0.05, 'tau': 8, 'e': 0.1, 'lam': 0.5, 'sig': 0, 'sigw': 0.05} 6.458 {'DI_near': 0.1168, 'DI_exact': 0.107, 'dev_rate': 43.2179, 'page_mi': 0.227, 'cons_excess': 0.0224, 'T7b_rec': 0.0488, 'hapax': 0.6844, 'ttr': 0.2516, 'T6b_slope': -0.0022, 'T3a_rho': 0.0506}
even B2-noC2 pass done {'m': 1, 'theta': 1.0, 'eps': 0.08, 'rho': 0.05, 'tau': 4, 'e': 0.1, 'lam': 0.25, 'sig': 0.4, 'sigw': 0} 11.632 {'DI_near': 0.1285, 'DI_exact': 0.2971, 'dev_rate': 60.6196, 'page_mi': 0.2321, 'cons_excess': 0.0524, 'T7b_rec': 0.064, 'hapax': 0.7272, 'ttr': 0.3409, 'T6b_slope': -0.0011, 'T3a_rho': 0.0598}
even B2-noC2 pass done {'m': 1, 'theta': 1.0, 'eps': 0.08, 'rho': 0.05, 'tau': 4, 'e': 0.1, 'lam': 0.25, 'sig': 0.4, 'sigw': 0} 11.632 {'DI_near': 0.1285, 'DI_exact': 0.2971, 'dev_rate': 60.6196, 'page_mi': 0.2321, 'cons_excess': 0.0524, 'T7b_rec': 0.064, 'hapax': 0.7272, 'ttr': 0.3409, 'T6b_slope': -0.0011, 'T3a_rho': 0.0598}
even B2-noC2 pass done {'m': 1, 'theta': 1.0, 'eps': 0.08, 'rho': 0.05, 'tau': 4, 'e': 0.1, 'lam': 0.25, 'sig': 0.4, 'sigw': 0} 11.632 {'DI_near': 0.1285, 'DI_exact': 0.2971, 'dev_rate': 60.6196, 'page_mi': 0.2321, 'cons_excess': 0.0524, 'T7b_rec': 0.064, 'hapax': 0.7272, 'ttr': 0.3409, 'T6b_slope': -0.0011, 'T3a_rho': 0.0598}
even B3-noC3 pass done {'m': 2, 'theta': 1.0, 'eps': 0, 'rho': 0.03, 'tau': 8, 'e': 0.1, 'lam': 0.25, 'sig': 0.4, 'sigw': 0.05} 59.575 {'DI_near': 0.0277, 'DI_exact': 0.1117, 'dev_rate': 33.1935, 'page_mi': 0.3322, 'cons_excess': 0.0569, 'T7b_rec': 0.1566, 'hapax': 0.6239, 'ttr': 0.2308, 'T6b_slope': -0.0023, 'T3a_rho': 0.0282}
even B3-noC3 pass done {'m': 2, 'theta': 1.0, 'eps': 0, 'rho': 0.03, 'tau': 8, 'e': 0.1, 'lam': 0.25, 'sig': 0.4, 'sigw': 0.05} 59.575 {'DI_near': 0.0277, 'DI_exact': 0.1117, 'dev_rate': 33.1935, 'page_mi': 0.3322, 'cons_excess': 0.0569, 'T7b_rec': 0.1566, 'hapax': 0.6239, 'ttr': 0.2308, 'T6b_slope': -0.0023, 'T3a_rho': 0.0282}
