even TR {'m': 1, 'c': 0.1, 'eps': 0.02, 'rho': 0, 'tau': 4, 'e': 0.1, 'sq': 0.2, 'sp': 0.4, 'sw': 0.05} 11.634 {'DI_near': 0.0071, 'DI_exact': -0.0201, 'dev_rate': 33.9331, 'page_mi': 0.4296, 'cons_excess': 0.0191, 'T7b_rec': 0.0603, 'hapax': 0.5889, 'ttr': 0.141, 'T6b_slope': -0.0013, 'T3a_rho': 0.0341}
even TR {'m': 1, 'c': 0.1, 'eps': 0.02, 'rho': 0.03, 'tau': 4, 'e': 0.1, 'sq': 0.2, 'sp': 0.4, 'sw': 0.1} 9.624 {'DI_near': 0.0592, 'DI_exact': 0.0013, 'dev_rate': 32.5812, 'page_mi': 0.4269, 'cons_excess': 0.0239, 'T7b_rec': 0.0558, 'hapax': 0.5659, 'ttr': 0.1368, 'T6b_slope': -0.001, 'T3a_rho': 0.0332}
even TR {'m': 1, 'c': 0.1, 'eps': 0.02, 'rho': 0.03, 'tau': 4, 'e': 0.1, 'sq': 0.4, 'sp': 0.4, 'sw': 0} 6.895 {'DI_near': 0.0589, 'DI_exact': 0.022, 'dev_rate': 33.4804, 'page_mi': 0.4455, 'cons_excess': 0.0203, 'T7b_rec': 0.0432, 'hapax': 0.5898, 'ttr': 0.1397, 'T6b_slope': -0.0006, 'T3a_rho': 0.0348}
even D1-nocoin {'m': 1, 'c': 0, 'eps': 0.02, 'rho': 0.05, 'tau': 16, 'e': 0.1, 'sq': 0.2, 'sp': 0.4, 'sw': 0.05} 118.858 {'DI_near': 0.0354, 'DI_exact': 0.0083, 'dev_rate': 29.0179, 'page_mi': 0.4541, 'cons_excess': 0.016, 'T7b_rec': 0.2189, 'hapax': 0.2677, 'ttr': 0.0704, 'T6b_slope': -0.0017, 'T3a_rho': 0.0265}
even D1-nocoin {'m': 1, 'c': 0, 'eps': 0.02, 'rho': 0.05, 'tau': 16, 'e': 0.1, 'sq': 0.2, 'sp': 0.4, 'sw': 0.05} 118.858 {'DI_near': 0.0354, 'DI_exact': 0.0083, 'dev_rate': 29.0179, 'page_mi': 0.4541, 'cons_excess': 0.016, 'T7b_rec': 0.2189, 'hapax': 0.2677, 'ttr': 0.0704, 'T6b_slope': -0.0017, 'T3a_rho': 0.0265}
even D1-nocoin {'m': 1, 'c': 0, 'eps': 0.02, 'rho': 0.05, 'tau': 16, 'e': 0.1, 'sq': 0.2, 'sp': 0.4, 'sw': 0.05} 118.858 {'DI_near': 0.0354, 'DI_exact': 0.0083, 'dev_rate': 29.0179, 'page_mi': 0.4541, 'cons_excess': 0.016, 'T7b_rec': 0.2189, 'hapax': 0.2677, 'ttr': 0.0704, 'T6b_slope': -0.0017, 'T3a_rho': 0.0265}
even D2-norepvar {'m': 1, 'c': 0.4, 'eps': 0.01, 'rho': 0.05, 'tau': 8, 'e': 0.3, 'sq': 0, 'sp': 0, 'sw': 0} 12.624 {'DI_near': -0.0022, 'DI_exact': 0.0769, 'dev_rate': 46.0821, 'page_mi': 0.1626, 'cons_excess': 0.0161, 'T7b_rec': 0.0661, 'hapax': 0.7038, 'ttr': 0.3177, 'T6b_slope': -0.0014, 'T3a_rho': 0.0417}
even D2-norepvar {'m': 1, 'c': 0.4, 'eps': 0.01, 'rho': 0.05, 'tau': 8, 'e': 0.3, 'sq': 0, 'sp': 0, 'sw': 0} 12.624 {'DI_near': -0.0022, 'DI_exact': 0.0769, 'dev_rate': 46.0821, 'page_mi': 0.1626, 'cons_excess': 0.0161, 'T7b_rec': 0.0661, 'hapax': 0.7038, 'ttr': 0.3177, 'T6b_slope': -0.0014, 'T3a_rho': 0.0417}
even D2-norepvar {'m': 1, 'c': 0.4, 'eps': 0.01, 'rho': 0.05, 'tau': 8, 'e': 0.3, 'sq': 0, 'sp': 0, 'sw': 0} 12.624 {'DI_near': -0.0022, 'DI_exact': 0.0769, 'dev_rate': 46.0821, 'page_mi': 0.1626, 'cons_excess': 0.0161, 'T7b_rec': 0.0661, 'hapax': 0.7038, 'ttr': 0.3177, 'T6b_slope': -0.0014, 'T3a_rho': 0.0417}
even D3-norecency {'m': 1, 'c': 0.2, 'eps': 0.01, 'rho': 0, 'tau': 8, 'e': 0.3, 'sq': 0.4, 'sp': 0.4, 'sw': 0.05} 8.403 {'DI_near': 0.0297, 'DI_exact': -0.0174, 'dev_rate': 36.106, 'page_mi': 0.3764, 'cons_excess': 0.0154, 'T7b_rec': 0.0499, 'hapax': 0.6589, 'ttr': 0.201, 'T6b_slope': -0.0015, 'T3a_rho': 0.0348}
even D3-norecency {'m': 1, 'c': 0.2, 'eps': 0.01, 'rho': 0, 'tau': 8, 'e': 0.3, 'sq': 0.4, 'sp': 0.4, 'sw': 0.05} 8.403 {'DI_near': 0.0297, 'DI_exact': -0.0174, 'dev_rate': 36.106, 'page_mi': 0.3764, 'cons_excess': 0.0154, 'T7b_rec': 0.0499, 'hapax': 0.6589, 'ttr': 0.201, 'T6b_slope': -0.0015, 'T3a_rho': 0.0348}
